id;customer_id;policy_number;alteration;request_date;effective_date
5712;17412;100017412;Change Nominated Child & Term;2024-08-04;2024-08-07
5713;17425;100017425;Increase ULS Term;2024-04-22;2024-05-03
5714;17425;100017425;Change Product;2025-10-17;2025-10-29
5715;17425;100017425;Policy Termination Payment;2024-07-20;2024-08-03
5716;17426;100017426;Change Personal Information;2025-07-08;2025-07-12
5717;17426;100017426;Unsuspend Premium Collection;2025-11-13;2025-11-23
5718;17426;100017426;Decrease Package;2025-12-13;2025-12-25
5719;17428;100017428;Suspend Premium Collection;2024-09-05;2024-09-19
5720;17428;100017428;Remove Indexation;2024-11-25;2024-12-11
5721;17428;100017428;Decrease Package;2025-09-04;2025-09-20
5722;17429;100017429;Change Payment Method;2024-09-07;2024-09-17
5723;17429;100017429;Change Nominated Child & Term;2024-11-30;2024-12-12
5724;17429;100017429;Cancel Benefit;2024-06-03;2024-06-20
5725;17461;100017461;Change Product;2024-07-11;2024-07-25
5726;17461;100017461;Change Frequency;2024-03-28;2024-04-15
5727;17461;100017461;Change Address;2025-05-26;2025-06-14
5728;17463;100017463;Change Nominated Child & Term;2024-11-23;2024-12-12
5729;17463;100017463;Change Bank Detail Information;2024-02-02;2024-02-06
5730;17463;100017463;Premium Cessation;2025-05-21;2025-05-28
5731;17470;100017470;Decrease Premium Without Sum insured Amount;2024-08-18;2024-09-04
5732;17470;100017470;Change Spouse Information;2024-03-06;2024-03-15
5733;17470;100017470;Edit Client Source;2025-11-15;2025-11-20
5734;17486;100017486;Policy Termination Payment;2024-02-29;2024-03-06
5735;17486;100017486;Change Bank Detail Information;2025-01-11;2025-01-15
5736;17486;100017486;Add a benefit;2025-12-09;2025-12-19
5737;17491;100017491;Premium Cessation;2025-07-04;2025-07-14
5738;17491;100017491;Change Index Fixed Value;2025-09-19;2025-09-27
5739;17491;100017491;Change Beneficiaries;2025-11-22;2025-11-28
5740;17519;100017519;Add a benefit;2025-03-14;2025-04-01
5741;17519;100017519;Change Client Name;2025-05-17;2025-06-01
5742;17519;100017519;Change Payment Method;2024-06-22;2024-07-03
5743;17522;100017522;Change Spouse Information;2025-09-24;2025-10-11
5744;17522;100017522;Policy Termination Payment;2025-08-11;2025-08-17
5745;17522;100017522;Change Index Type;2025-03-27;2025-03-28
5746;17539;100017539;Change Client Name;2025-09-18;2025-09-22
5747;17539;100017539;Increase ULS Term;2024-04-20;2024-05-02
5748;17539;100017539;Change Address;2024-02-13;2024-02-15
5749;17569;100017569;Policy Termination Payment;2025-04-26;2025-05-09
5750;17569;100017569;Decrease Benefit Sum Insured;2025-04-10;2025-04-26
5751;17569;100017569;Change Payment Method;2024-03-14;2024-03-26
5752;17577;100017577;Increase Benefit Sum Insured;2024-05-27;2024-06-13
5753;17577;100017577;Extend Term;2024-04-27;2024-05-13
5754;17577;100017577;Increase Premium;2025-11-03;2025-11-07
5755;17579;100017579;Extend Term;2024-10-21;2024-11-08
5756;17579;100017579;Change Beneficiaries;2024-09-28;2024-10-14
5757;17579;100017579;Change Bank Detail Information;2024-03-19;2024-03-25
5758;17583;100017583;Cancel Benefit;2024-05-26;2024-05-29
5759;17583;100017583;Change Nominated Child & Term;2024-02-05;2024-02-14
5760;17583;100017583;Change Payer;2024-06-06;2024-06-12
5761;17594;100017594;Policy Termination Payment;2024-05-25;2024-06-10
5762;17594;100017594;Change Frequency;2024-03-01;2024-03-05
5763;17594;100017594;Change Address;2024-04-08;2024-04-11
5764;17610;100017610;Reinstate ULS;2024-06-28;2024-07-11
5765;17610;100017610;Add Indexation;2024-08-07;2024-08-15
5766;17610;100017610;Change Nominated Child without Term;2024-09-18;2024-09-20
5767;17627;100017627;Decrease ULS Term;2025-12-15;2025-12-25
5768;17627;100017627;Decrease Premium Without Sum insured Amount;2025-12-18;2025-12-18
5769;17627;100017627;Reinstate ULS Benefits;2025-01-11;2025-01-24
5770;17657;100017657;Decrease Premium;2025-01-09;2025-01-11
5771;17657;100017657;Decrease Package;2024-12-05;2024-12-18
5772;17657;100017657;Resume Payments;2025-12-24;2025-12-31
5773;17672;100017672;Change Beneficiaries;2025-03-27;2025-04-06
5774;17672;100017672;Decrease Premium Without Sum insured Amount;2024-06-16;2024-06-29
5775;17672;100017672;Increase Premium Without Sum insured Amount;2024-06-30;2024-07-16
5776;17675;100017675;Add Indexation;2025-03-05;2025-03-24
5777;17675;100017675;Decrease ULS Term;2025-04-06;2025-04-13
5778;17675;100017675;Change Spouse Information;2025-03-06;2025-03-11
5779;17691;100017691;Add a benefit;2025-12-16;2025-12-22
5780;17691;100017691;Suspend Premium Collection;2025-11-27;2025-12-03
5781;17691;100017691;Edit Client Source;2025-12-11;2025-12-22
5782;17709;100017709;Increase Premium Without Sum insured Amount;2025-05-19;2025-05-26
5783;17709;100017709;Increase Benefit Sum Insured;2025-04-05;2025-04-07
5784;17709;100017709;Decrease Benefit Sum Insured;2025-05-03;2025-05-18
5785;17726;100017726;Change Product;2025-04-22;2025-05-07
5786;17726;100017726;Change Spouse Information;2024-04-18;2024-04-30
5787;17726;100017726;Change Spouse Information;2024-11-15;2024-11-28
5788;17728;100017728;Premium Cessation;2025-01-27;2025-02-05
5789;17728;100017728;Change Address;2024-04-05;2024-04-19
5790;17728;100017728;Extend Term;2024-04-16;2024-05-04
5791;17729;100017729;Increase Package;2025-08-21;2025-09-02
5792;17729;100017729;Change Beneficiaries;2024-10-19;2024-10-26
5793;17729;100017729;Add a benefit;2024-09-21;2024-10-04
5794;17731;100017731;Change Frequency;2025-11-19;2025-11-28
5795;17731;100017731;Decrease Package;2024-02-23;2024-02-23
5796;17731;100017731;Cancel Benefit;2024-04-22;2024-05-09
5797;17736;100017736;Change Index Type;2025-03-16;2025-03-26
5798;17736;100017736;Change Personal Information;2024-06-25;2024-07-04
5799;17736;100017736;Decrease Premium;2024-06-01;2024-06-13
5800;17739;100017739;Change Spouse Information;2024-09-06;2024-09-17
5801;17739;100017739;Unsuspend Premium Collection;2024-10-15;2024-10-22
5802;17739;100017739;Change Nominated Child without Term;2025-01-21;2025-01-29
5803;17754;100017754;Decrease ULS Term;2025-06-17;2025-06-18
5804;17754;100017754;Unsuspend Premium Collection;2024-07-14;2024-08-02
5805;17754;100017754;Add Indexation;2024-09-20;2024-09-25
5806;17760;100017760;Change Payment Method;2025-11-30;2025-12-05
5807;17760;100017760;Remove Indexation;2024-06-04;2024-06-10
5808;17760;100017760;Change Spouse Information;2024-11-05;2024-11-09
5809;17768;100017768;Increase Premium Without Sum insured Amount;2025-05-29;2025-06-15
5810;17768;100017768;Reinstate ULS Benefits;2024-05-09;2024-05-27
5811;17768;100017768;Change Beneficiaries;2025-09-27;2025-09-30
5812;17782;100017782;Premium Cessation;2024-12-04;2024-12-05
5813;17782;100017782;Change Spouse Information;2025-09-25;2025-10-05
5814;17782;100017782;Increase Package;2025-02-11;2025-02-14
5815;17793;100017793;Change Index Fixed Value;2025-09-12;2025-09-14
5816;17793;100017793;Decrease Package;2024-11-27;2024-12-12
5817;17793;100017793;Change Frequency;2025-06-24;2025-07-06
5818;17840;100017840;Edit Client Source;2025-08-24;2025-08-25
5819;17840;100017840;Add Indexation;2025-09-16;2025-10-03
5820;17840;100017840;Change Address;2025-09-24;2025-10-10
5821;17845;100017845;Change Spouse Information;2024-08-20;2024-08-31
5822;17845;100017845;Change Client Name;2024-10-30;2024-11-07
5823;17845;100017845;Decline Indexation;2025-05-25;2025-05-28
5824;17869;100017869;Change Spouse Information;2024-12-12;2024-12-26
5825;17869;100017869;Change Frequency;2024-11-12;2024-11-17
5826;17869;100017869;Change Nominated Child without Term;2024-11-03;2024-11-12
5827;17904;100017904;Change Frequency;2025-12-09;2025-12-20
5828;17904;100017904;Cancel Benefit;2025-04-17;2025-05-06
5829;17904;100017904;Policy Termination Payment;2025-06-10;2025-06-13
5830;17907;100017907;Edit Client Source;2024-11-07;2024-11-12
5831;17907;100017907;Decrease Benefit Sum Insured;2024-08-29;2024-09-02
5832;17907;100017907;Increase Benefit Sum Insured;2024-06-22;2024-07-03
5833;17909;100017909;Cancel Benefit;2024-03-26;2024-04-01
5834;17909;100017909;Decline Indexation;2024-04-01;2024-04-19
5835;17909;100017909;Change Beneficiaries;2024-04-09;2024-04-17
5836;17910;100017910;Remove Indexation;2024-09-13;2024-09-15
5837;17910;100017910;Increase Benefit Sum Insured;2025-02-15;2025-03-05
5838;17910;100017910;Premium Cessation;2025-04-15;2025-05-01
5839;17956;100017956;Edit Client Source;2024-04-19;2024-05-05
5840;17956;100017956;Decrease Package;2024-06-20;2024-07-08
5841;17956;100017956;Resume Payments;2024-08-17;2024-08-20
5842;17971;100017971;Change Nominated Child & Term;2024-09-05;2024-09-13
5843;17971;100017971;Change Index Fixed Value;2025-07-05;2025-07-23
5844;17971;100017971;Decrease Premium;2024-09-22;2024-10-08
5845;17973;100017973;Decrease Benefit Sum Insured;2025-05-03;2025-05-19
5846;17973;100017973;Change Client Name;2025-09-06;2025-09-15
5847;17973;100017973;Increase ULS Term;2024-06-20;2024-06-23
5848;17975;100017975;Cancel Benefit;2025-08-06;2025-08-18
5849;17975;100017975;Decrease ULS Term;2024-03-20;2024-04-01
5850;17975;100017975;Change Payment Method;2025-10-31;2025-11-08
5851;17977;100017977;Decrease Premium Without Sum insured Amount;2025-01-06;2025-01-24
5852;17977;100017977;Change Nominated Child without Term;2025-12-29;2026-01-16
5853;17977;100017977;Decrease ULS Term;2025-11-16;2025-11-28
5854;17978;100017978;Premium Cessation;2025-04-30;2025-05-16
5855;17978;100017978;Add Indexation;2025-03-30;2025-04-02
5856;17978;100017978;Increase ULS Term;2024-09-08;2024-09-16
5857;17983;100017983;Change Nominated Child & Term;2025-05-05;2025-05-22
5858;17983;100017983;Change Index Type;2024-02-26;2024-03-16
5859;17983;100017983;Increase ULS Term;2024-10-08;2024-10-24
5860;17992;100017992;Premium Cessation;2024-07-10;2024-07-19
5861;17992;100017992;Increase Premium Without Sum insured Amount;2024-05-27;2024-06-12
5862;17992;100017992;Premium Cessation;2024-10-30;2024-11-01
5863;17993;100017993;Change Beneficiaries;2024-02-12;2024-02-22
5864;17993;100017993;Remove Indexation;2025-04-30;2025-05-15
5865;17993;100017993;Increase Benefit Sum Insured;2025-09-05;2025-09-21
5866;17994;100017994;Change Index Fixed Value;2024-09-07;2024-09-25
5867;17994;100017994;Change Beneficiaries;2024-05-07;2024-05-11
5868;17994;100017994;Change Product;2025-05-24;2025-05-29
5869;17995;100017995;Decrease Benefit Sum Insured;2025-04-08;2025-04-13
5870;17995;100017995;Change Address;2025-09-21;2025-09-21
5871;17995;100017995;Change Index Fixed Value;2025-03-10;2025-03-23
5872;18016;100018016;Change Address;2024-03-13;2024-03-14
5873;18016;100018016;Increase Benefit Sum Insured;2025-07-14;2025-08-02
5874;18016;100018016;Extend Term;2024-04-22;2024-05-11
5875;18042;100018042;Edit Client Source;2024-11-07;2024-11-20
5876;18042;100018042;Change Personal Information;2024-12-20;2025-01-04
5877;18042;100018042;Reinstate ULS;2024-12-26;2024-12-27
5878;18047;100018047;Cancel Benefit;2024-07-08;2024-07-18
5879;18047;100018047;Policy Termination Payment;2024-12-05;2024-12-07
5880;18047;100018047;Change Payer;2024-08-24;2024-08-31
5881;18054;100018054;Policy Termination Payment;2025-02-13;2025-02-24
5882;18054;100018054;Change Index Fixed Value;2025-02-28;2025-03-17
5883;18054;100018054;Change Beneficiaries;2024-12-27;2025-01-09
5884;18065;100018065;Decrease Benefit Sum Insured;2025-10-05;2025-10-21
5885;18065;100018065;Decrease ULS Term;2025-01-14;2025-01-27
5886;18065;100018065;Increase Premium;2024-10-17;2024-10-24
5887;18069;100018069;Change Bank Detail Information;2025-03-26;2025-03-27
5888;18069;100018069;Decline Indexation;2024-07-13;2024-07-31
5889;18069;100018069;Increase Premium Without Sum insured Amount;2024-09-25;2024-10-08
5890;18071;100018071;Change Product;2024-07-17;2024-07-25
5891;18071;100018071;Unsuspend Premium Collection;2025-11-12;2025-11-19
5892;18071;100018071;Decrease Benefit Sum Insured;2025-03-27;2025-04-03
5893;18089;100018089;Change Bank Detail Information;2024-02-15;2024-02-20
5894;18089;100018089;Decrease Premium Without Sum insured Amount;2025-07-20;2025-08-07
5895;18089;100018089;Suspend Premium Collection;2025-08-14;2025-08-15
5896;18110;100018110;Decline Indexation;2025-08-28;2025-09-07
5897;18110;100018110;Remove Indexation;2025-10-31;2025-11-09
5898;18110;100018110;Cancel Benefit;2025-10-03;2025-10-22
5899;18134;100018134;Policy Ownership Assignment;2025-11-29;2025-12-18
5900;18134;100018134;Change Nominated Child & Term;2024-09-12;2024-09-20
5901;18134;100018134;Unsuspend Premium Collection;2024-11-11;2024-11-14
5902;18139;100018139;Change Payer;2025-03-22;2025-03-27
5903;18139;100018139;Increase Premium;2025-02-24;2025-03-13
5904;18139;100018139;Decrease Benefit Sum Insured;2025-10-19;2025-11-04
5905;18145;100018145;Change Nominated Child & Term;2025-06-05;2025-06-21
5906;18145;100018145;Reinstate ULS Benefits;2024-05-02;2024-05-11
5907;18145;100018145;Decrease Benefit Sum Insured;2025-04-07;2025-04-21
5908;18151;100018151;Policy Ownership Assignment;2024-03-04;2024-03-04
5909;18151;100018151;Decrease Premium Without Sum insured Amount;2025-06-18;2025-07-02
5910;18151;100018151;Decrease Benefit Sum Insured;2024-04-28;2024-05-12
5911;18154;100018154;Policy Ownership Assignment;2025-03-05;2025-03-07
5912;18154;100018154;Increase Package;2025-04-08;2025-04-09
5913;18154;100018154;Premium Cessation;2024-10-12;2024-10-23
5914;18159;100018159;Decrease Benefit Sum Insured;2024-06-09;2024-06-24
5915;18159;100018159;Add Indexation;2024-06-05;2024-06-15
5916;18159;100018159;Increase Premium;2025-03-02;2025-03-07
5917;18174;100018174;Suspend Premium Collection;2025-07-18;2025-07-24
5918;18174;100018174;Change Nominated Child & Term;2025-02-14;2025-02-23
5919;18174;100018174;Change Payer;2024-12-06;2024-12-08
5920;18180;100018180;Increase ULS Term;2025-03-04;2025-03-20
5921;18180;100018180;Change Bank Detail Information;2024-02-05;2024-02-13
5922;18180;100018180;Change Address;2024-02-06;2024-02-16
5923;18184;100018184;Change Payment Method;2025-02-22;2025-03-05
5924;18184;100018184;Decrease Premium Without Sum insured Amount;2024-06-15;2024-06-26
5925;18184;100018184;Decrease Package;2024-10-21;2024-11-08
5926;18196;100018196;Change Client Name;2025-03-02;2025-03-08
5927;18196;100018196;Increase Package;2024-06-30;2024-07-17
5928;18196;100018196;Suspend Premium Collection;2024-06-30;2024-07-05
5929;18212;100018212;Change Personal Information;2025-09-14;2025-09-29
5930;18212;100018212;Decrease Package;2024-09-02;2024-09-05
5931;18212;100018212;Remove Indexation;2025-09-18;2025-09-25
5932;18215;100018215;Increase ULS Term;2024-11-19;2024-11-20
5933;18215;100018215;Decline Indexation;2025-11-08;2025-11-26
5934;18215;100018215;Change Spouse Information;2024-02-27;2024-03-01
5935;18218;100018218;Change Index Fixed Value;2024-04-13;2024-05-02
5936;18218;100018218;Decline Indexation;2024-11-24;2024-11-28
5937;18218;100018218;Cancel Benefit;2025-11-05;2025-11-15
5938;18222;100018222;Change Index Fixed Value;2025-02-26;2025-03-09
5939;18222;100018222;Increase Package;2025-06-10;2025-06-25
5940;18222;100018222;Increase Premium Without Sum insured Amount;2024-10-31;2024-11-07
5941;18231;100018231;Increase Premium;2024-03-01;2024-03-01
5942;18231;100018231;Decrease Package;2024-05-26;2024-05-27
5943;18231;100018231;Resume Payments;2025-11-02;2025-11-03
5944;18240;100018240;Decline Indexation;2025-10-08;2025-10-12
5945;18240;100018240;Resume Payments;2025-01-19;2025-01-21
5946;18240;100018240;Decrease Premium Without Sum insured Amount;2024-06-08;2024-06-09
5947;18271;100018271;Increase Benefit Sum Insured;2025-02-27;2025-02-28
5948;18271;100018271;Policy Ownership Assignment;2024-09-08;2024-09-22
5949;18271;100018271;Policy Termination Payment;2025-06-29;2025-06-30
5950;18281;100018281;Change Bank Detail Information;2025-02-03;2025-02-17
5951;18281;100018281;Reinstate ULS Benefits;2024-05-01;2024-05-15
5952;18281;100018281;Unsuspend Premium Collection;2024-07-02;2024-07-05
5953;18283;100018283;Premium Cessation;2025-07-26;2025-08-10
5954;18283;100018283;Increase Benefit Sum Insured;2025-08-04;2025-08-04
5955;18283;100018283;Decrease Benefit Sum Insured;2025-06-11;2025-06-25
5956;18285;100018285;Change Personal Information;2025-08-09;2025-08-22
5957;18285;100018285;Suspend Premium Collection;2025-09-16;2025-09-28
5958;18285;100018285;Reinstate ULS Benefits;2025-02-12;2025-02-20
5959;18288;100018288;Decrease Benefit Sum Insured;2025-10-08;2025-10-13
5960;18288;100018288;Decrease ULS Term;2024-05-19;2024-06-07
5961;18288;100018288;Change Index Fixed Value;2024-12-21;2024-12-27
5962;18303;100018303;Add a benefit;2024-09-27;2024-09-28
5963;18303;100018303;Change Client Name;2024-11-14;2024-11-17
5964;18303;100018303;Policy Ownership Assignment;2024-05-17;2024-05-30
5965;18310;100018310;Decrease Premium;2025-05-28;2025-06-14
5966;18310;100018310;Add Indexation;2025-12-01;2025-12-02
5967;18310;100018310;Add Indexation;2025-11-13;2025-11-20
5968;18319;100018319;Decrease Benefit Sum Insured;2025-04-27;2025-05-02
5969;18319;100018319;Change Product;2024-06-27;2024-07-10
5970;18319;100018319;Decrease ULS Term;2024-08-06;2024-08-22
5971;18338;100018338;Change Frequency;2024-11-08;2024-11-09
5972;18338;100018338;Policy Ownership Assignment;2025-05-17;2025-05-31
5973;18338;100018338;Change Payer;2025-02-01;2025-02-02
5974;18347;100018347;Cancel Benefit;2025-11-30;2025-12-10
5975;18347;100018347;Change Personal Information;2024-04-22;2024-04-27
5976;18347;100018347;Policy Ownership Assignment;2024-06-14;2024-06-18
5977;18364;100018364;Increase Benefit Sum Insured;2024-11-07;2024-11-25
5978;18364;100018364;Change Index Fixed Value;2025-05-28;2025-06-13
5979;18364;100018364;Add a benefit;2025-10-22;2025-11-09
5980;18383;100018383;Change Personal Information;2025-12-13;2025-12-18
5981;18383;100018383;Policy Ownership Assignment;2024-09-07;2024-09-13
5982;18383;100018383;Change Beneficiaries;2024-08-10;2024-08-17
5983;18384;100018384;Change Payment Method;2024-09-23;2024-10-12
5984;18384;100018384;Add a benefit;2024-09-01;2024-09-02
5985;18384;100018384;Change Personal Information;2024-04-07;2024-04-25
5986;18388;100018388;Decrease Premium;2025-07-20;2025-07-23
5987;18388;100018388;Increase ULS Term;2024-03-21;2024-03-24
5988;18388;100018388;Edit Client Source;2025-11-18;2025-12-01
5989;18396;100018396;Cancel Benefit;2024-07-21;2024-07-26
5990;18396;100018396;Decrease ULS Term;2024-04-29;2024-05-12
5991;18396;100018396;Increase ULS Term;2025-03-29;2025-04-01
5992;18428;100018428;Change Product;2025-01-29;2025-01-30
5993;18428;100018428;Change Nominated Child & Term;2025-07-08;2025-07-25
5994;18428;100018428;Add a benefit;2024-07-05;2024-07-21
5995;18439;100018439;Change Index Type;2025-10-01;2025-10-18
5996;18439;100018439;Reinstate ULS;2025-01-01;2025-01-15
5997;18439;100018439;Change Nominated Child & Term;2025-06-19;2025-06-23
5998;18444;100018444;Unsuspend Premium Collection;2024-03-03;2024-03-06
5999;18444;100018444;Change Index Fixed Value;2024-02-10;2024-02-15
6000;18444;100018444;Change Personal Information;2024-04-05;2024-04-17
6001;18451;100018451;Suspend Premium Collection;2024-06-20;2024-07-04
6002;18451;100018451;Increase Benefit Sum Insured;2025-12-14;2025-12-14
6003;18451;100018451;Decrease ULS Term;2025-07-05;2025-07-12
6004;18453;100018453;Increase Premium;2024-04-14;2024-05-01
6005;18453;100018453;Policy Termination Payment;2024-02-17;2024-02-21
6006;18453;100018453;Change Client Name;2024-10-27;2024-11-06
6007;18479;100018479;Policy Termination Payment;2024-10-04;2024-10-12
6008;18479;100018479;Change Bank Detail Information;2024-09-28;2024-10-16
6009;18479;100018479;Decrease Premium Without Sum insured Amount;2024-12-14;2024-12-19
6010;18480;100018480;Change Nominated Child without Term;2024-02-29;2024-03-13
6011;18480;100018480;Change Product;2024-11-24;2024-12-08
6012;18480;100018480;Change Beneficiaries;2025-11-29;2025-12-14
6013;18488;100018488;Change Index Type;2024-09-04;2024-09-18
6014;18488;100018488;Unsuspend Premium Collection;2025-09-23;2025-10-07
6015;18488;100018488;Decrease Premium Without Sum insured Amount;2024-09-04;2024-09-23
6016;18493;100018493;Increase ULS Term;2025-12-14;2025-12-27
6017;18493;100018493;Add a benefit;2025-09-04;2025-09-23
6018;18493;100018493;Change Index Type;2025-01-08;2025-01-23
6019;18516;100018516;Change Spouse Information;2024-05-04;2024-05-13
6020;18516;100018516;Change Beneficiaries;2025-12-05;2025-12-13
6021;18516;100018516;Decrease Benefit Sum Insured;2024-03-04;2024-03-06
6022;18520;100018520;Change Address;2025-09-02;2025-09-13
6023;18520;100018520;Change Beneficiaries;2024-04-23;2024-05-03
6024;18520;100018520;Change Beneficiaries;2025-01-10;2025-01-14
6025;18525;100018525;Change Personal Information;2024-02-21;2024-03-02
6026;18525;100018525;Increase Package;2024-05-27;2024-06-11
6027;18525;100018525;Reinstate ULS;2024-11-13;2024-11-29
6028;18563;100018563;Change Index Type;2025-04-25;2025-05-13
6029;18563;100018563;Suspend Premium Collection;2025-06-04;2025-06-21
6030;18563;100018563;Add Indexation;2025-06-17;2025-07-06
6031;18566;100018566;Increase ULS Term;2025-11-08;2025-11-26
6032;18566;100018566;Increase Benefit Sum Insured;2024-05-16;2024-05-27
6033;18566;100018566;Change Payer;2025-05-24;2025-05-26
6034;18577;100018577;Change Personal Information;2025-05-12;2025-05-25
6035;18577;100018577;Remove Indexation;2024-05-21;2024-06-06
6036;18577;100018577;Change Payer;2025-11-03;2025-11-10
6037;18594;100018594;Reinstate ULS Benefits;2025-11-09;2025-11-26
6038;18594;100018594;Change Index Fixed Value;2024-04-06;2024-04-19
6039;18594;100018594;Change Frequency;2025-02-25;2025-03-15
6040;18610;100018610;Policy Ownership Assignment;2025-11-01;2025-11-10
6041;18610;100018610;Decrease ULS Term;2024-04-19;2024-04-29
6042;18610;100018610;Suspend Premium Collection;2025-06-29;2025-07-08
6043;18640;100018640;Remove Indexation;2025-09-08;2025-09-08
6044;18640;100018640;Policy Ownership Assignment;2024-11-20;2024-11-23
6045;18640;100018640;Change Spouse Information;2024-04-19;2024-04-21
6046;18641;100018641;Increase Premium;2024-10-23;2024-11-10
6047;18641;100018641;Policy Ownership Assignment;2025-12-01;2025-12-05
6048;18641;100018641;Change Product;2024-09-16;2024-09-23
6049;18643;100018643;Unsuspend Premium Collection;2024-03-16;2024-04-02
6050;18643;100018643;Resume Payments;2025-09-04;2025-09-16
6051;18643;100018643;Decline Indexation;2025-04-02;2025-04-13
6052;18650;100018650;Edit Client Source;2024-04-10;2024-04-24
6053;18650;100018650;Decrease Benefit Sum Insured;2025-06-23;2025-07-03
6054;18650;100018650;Change Payer;2025-09-16;2025-09-25
6055;18653;100018653;Reinstate ULS Benefits;2025-02-28;2025-03-19
6056;18653;100018653;Increase Premium;2025-06-08;2025-06-14
6057;18653;100018653;Change Beneficiaries;2024-11-22;2024-12-11
6058;18654;100018654;Increase Package;2024-03-12;2024-03-16
6059;18654;100018654;Decline Indexation;2025-09-03;2025-09-21
6060;18654;100018654;Change Nominated Child without Term;2025-09-29;2025-10-01
6061;18655;100018655;Increase Premium;2025-12-04;2025-12-07
6062;18655;100018655;Increase Premium Without Sum insured Amount;2024-12-16;2024-12-19
6063;18655;100018655;Increase Benefit Sum Insured;2025-08-27;2025-09-05
6064;18665;100018665;Decrease ULS Term;2025-10-28;2025-11-12
6065;18665;100018665;Change Client Name;2024-08-01;2024-08-01
6066;18665;100018665;Change Bank Detail Information;2025-09-22;2025-09-23
6067;22061;100022061;Change Personal Information;2024-05-17;2024-05-28
6068;22061;100022061;Reinstate ULS;2024-07-01;2024-07-12
6069;22061;100022061;Change Payment Method;2024-03-06;2024-03-09
6070;18685;100018685;Change Bank Detail Information;2025-01-16;2025-02-02
6071;18685;100018685;Decrease ULS Term;2025-01-31;2025-02-03
6072;18685;100018685;Increase Premium;2025-04-15;2025-05-02
6073;18687;100018687;Change Payment Method;2025-04-16;2025-04-27
6074;18687;100018687;Increase Package;2025-12-25;2026-01-05
6075;18687;100018687;Change Address;2025-11-26;2025-11-30
6076;18714;100018714;Policy Ownership Assignment;2025-07-16;2025-07-31
6077;18714;100018714;Change Index Type;2025-12-09;2025-12-26
6078;18714;100018714;Increase Package;2025-06-06;2025-06-14
6079;18716;100018716;Decline Indexation;2025-01-24;2025-02-04
6080;18716;100018716;Change Index Fixed Value;2025-07-25;2025-08-03
6081;18716;100018716;Change Spouse Information;2025-03-22;2025-03-30
6082;18748;100018748;Policy Termination Payment;2025-07-05;2025-07-10
6083;18748;100018748;Change Nominated Child without Term;2025-01-27;2025-02-09
6084;18748;100018748;Change Product;2025-10-27;2025-10-31
6085;18752;100018752;Change Beneficiaries;2025-01-27;2025-02-13
6086;18752;100018752;Change Beneficiaries;2025-07-30;2025-08-01
6087;18752;100018752;Suspend Premium Collection;2024-06-26;2024-07-14
6088;18756;100018756;Change Nominated Child without Term;2025-08-05;2025-08-06
6089;18756;100018756;Change Payer;2025-07-03;2025-07-07
6090;18756;100018756;Change Client Name;2024-03-21;2024-03-30
6091;18774;100018774;Resume Payments;2024-09-27;2024-10-13
6092;18774;100018774;Change Personal Information;2025-06-15;2025-06-15
6093;18774;100018774;Reinstate ULS;2024-04-26;2024-05-06
6094;18776;100018776;Decrease Benefit Sum Insured;2025-10-16;2025-11-01
6095;18776;100018776;Edit Client Source;2024-04-02;2024-04-16
6096;18776;100018776;Policy Ownership Assignment;2024-09-06;2024-09-21
6097;18780;100018780;Decrease ULS Term;2025-12-16;2025-12-21
6098;18780;100018780;Decrease ULS Term;2025-04-19;2025-05-03
6099;18780;100018780;Suspend Premium Collection;2025-07-17;2025-08-01
6100;20124;100020124;Add Indexation;2024-09-27;2024-09-28
6101;20124;100020124;Increase Benefit Sum Insured;2025-01-08;2025-01-26
6102;20124;100020124;Change Index Type;2025-08-18;2025-08-22
6103;18812;100018812;Suspend Premium Collection;2024-07-17;2024-07-19
6104;18812;100018812;Increase ULS Term;2025-03-10;2025-03-12
6105;18812;100018812;Change Bank Detail Information;2025-08-07;2025-08-08
6106;18837;100018837;Increase ULS Term;2025-11-27;2025-11-30
6107;18837;100018837;Decrease Benefit Sum Insured;2024-09-20;2024-10-04
6108;18837;100018837;Extend Term;2025-01-26;2025-01-29
6109;18841;100018841;Decrease Benefit Sum Insured;2024-11-26;2024-12-09
6110;18841;100018841;Unsuspend Premium Collection;2024-07-28;2024-08-12
6111;18841;100018841;Reinstate ULS Benefits;2024-07-02;2024-07-17
6112;18842;100018842;Reinstate ULS;2024-09-29;2024-10-11
6113;18842;100018842;Change Personal Information;2024-07-25;2024-08-01
6114;18842;100018842;Extend Term;2024-06-14;2024-06-29
6115;18851;100018851;Cancel Benefit;2025-06-03;2025-06-13
6116;18851;100018851;Change Personal Information;2024-04-22;2024-05-11
6117;18851;100018851;Change Payer;2024-09-04;2024-09-19
6118;18855;100018855;Change Address;2024-05-21;2024-06-07
6119;18855;100018855;Change Spouse Information;2025-04-07;2025-04-15
6120;18855;100018855;Increase ULS Term;2024-10-18;2024-10-23
6121;18872;100018872;Change Nominated Child without Term;2025-08-24;2025-09-08
6122;18872;100018872;Change Address;2025-08-12;2025-08-29
6123;18872;100018872;Decrease ULS Term;2025-09-21;2025-10-02
6124;18927;100018927;Premium Cessation;2024-11-23;2024-12-06
6125;18927;100018927;Change Payer;2025-10-25;2025-11-04
6126;18927;100018927;Increase Benefit Sum Insured;2025-01-05;2025-01-13
6127;18929;100018929;Resume Payments;2025-08-14;2025-08-16
